Year,Name,Gender
1880,Johannah,F
1880,Jonathan,M
1881,Jonathan,M
1881,Johnathan,M
1882,Johannah,F
1882,Jonathan,M
1883,Jonathan,M
1884,Johannah,F
1884,Jonathan,M
1885,Johannah,F
1885,Jonathan,M
1886,Jonathan,M
1886,Johnathan,M
1887,Jonathan,M
1888,Johannah,F
1888,Jonathan,M
1889,Jonathan,M
1890,Johannah,F
1890,Jonathan,M
1891,Jonathan,M
1892,Johannah,F
1892,Jonathan,M
1893,Johannah,F
1893,Jonathan,M
1894,Jonathan,M
1895,Johannah,F
1895,Jonathan,M
1896,Johannah,F
1896,Jonathan,M
1897,Johannah,F
1897,Jonathan,M
1898,Johannah,F
1898,Jonathan,M
1899,Jonathan,M
1900,Johannah,F
1900,Jonathan,M
1901,Jonathan,M
1902,Jonathan,M
1903,Johannah,F
1903,Jonathan,M
1904,Jonathan,M
1905,Jonathan,M
1906,Jonathan,M
1907,Jonathan,M
1908,Johannah,F
1908,Jonathan,M
1909,Johannah,F
1909,Jonathan,M
1910,Jonathan,M
1911,Jonathan,M
1912,Jonathan,M
1913,Johannah,F
1913,Jonathan,M
1914,Johannah,F
1914,Jonathan,M
1914,Johnathan,M
1915,Johannah,F
1915,Jonathan,M
1915,Johnathan,M
1916,Johannah,F
1916,Jonathan,M
1916,Johnathan,M
1917,Johannah,F
1917,Jonathan,M
1917,Johnathan,M
1918,Johannah,F
1918,Jonathan,M
1918,Johnathan,M
1919,Johannah,F
1919,Jonathan,M
1919,Johnathan,M
1919,Johnathon,M
1920,Johannah,F
1920,Jonathan,M
1920,Johnathan,M
1921,Johannah,F
1921,Jonathan,M
1921,Johnathan,M
1922,Johannah,F
1922,Jonathan,M
1922,Johnathan,M
1923,Jonathan,M
1923,Johnathan,M
1924,Johannah,F
1924,Jonathan,M
1924,Johnathan,M
1925,Johna,F
1925,Johannah,F
1925,Jonathan,M
1925,Johnathan,M
1926,Johannah,F
1926,Jonathan,M
1926,Johnathan,M
1927,Johannah,F
1927,Jonathan,M
1927,Johnathan,M
1928,Johannah,F
1928,Johna,F
1928,Jonathan,M
1928,Johnathan,M
1929,Jonathan,M
1929,Johnathan,M
1930,Johna,F
1930,Johannah,F
1930,Jonathan,M
1930,Johnathan,M
1931,Johannah,F
1931,Jonathan,M
1931,Johnathan,M
1932,Johna,F
1932,Jonathan,M
1932,Johnathan,M
1933,Johna,F
1933,Johannah,F
1933,Jonathan,M
1933,Johnathan,M
1934,Johannah,F
1934,Johna,F
1934,Jonathan,M
1934,Joenathan,M
1934,Johnathan,M
1935,Johannah,F
1935,Johna,F
1935,Jonathan,M
1935,Johnathan,M
1935,Joenathan,M
1936,Johna,F
1936,Jonathan,M
1936,Johnathan,M
1936,Joenathan,M
1937,Johannah,F
1937,Johna,F
1937,Jonathan,M
1937,Johnathan,M
1937,Joenathan,M
1938,Johannah,F
1938,Johna,F
1938,Jonathan,M
1938,Johnathan,M
1938,Joenathan,M
