Year,Name,Gender
1906,Ryan,M
1911,Ryan,M
1913,Ryan,M
1914,Ryan,M
1916,Ryan,M
1917,Ryan,M
1918,Ryan,M
1919,Ryan,M
1920,Ryan,M
1921,Ryan,M
1922,Ryan,M
1923,Ryan,M
1924,Ryan,M
1925,Ryan,M
1926,Ryan,M
1927,Ryan,M
1928,Ryan,M
1929,Ryan,M
1930,Ryan,M
1931,Ryan,M
1932,Ryan,M
1933,Ryan,M
1934,Ryan,M
1935,Ryan,M
1936,Ryan,M
1937,Ryan,M
1938,Ryan,M
1939,Ryan,M
1940,Ryan,M
1941,Ryan,M
1942,Ryan,M
1943,Ryan,M
1944,Ryan,M
1945,Ryan,M
1946,Ryan,M
1947,Ryan,M
1948,Ryan,M
1948,Rian,M
1949,Ryan,M
1950,Ryan,M
1950,Rian,M
1951,Ryan,M
1952,Ryan,M
1952,Rian,M
1953,Ryan,M
1954,Ryan,M
1954,Rian,M
1955,Ryan,M
1955,Rian,M
1956,Ryan,M
1956,Rian,M
1957,Ryan,M
1957,Rian,M
1958,Ryan,M
1958,Rian,M
1959,Ryan,F
1959,Ryan,M
1959,Rian,M
1960,Ryan,F
1960,Ryan,M
1960,Rian,M
1961,Ryan,M
1961,Rian,M
1962,Ryan,M
1962,Rian,M
1963,Ryan,M
1963,Rian,M
1964,Ryan,F
1964,Ryan,M
1964,Rian,M
1965,Ryan,F
1965,Ryan,M
1965,Rian,M
1966,Ryan,F
1966,Ryan,M
1966,Rian,M
1967,Ryan,F
1967,Ryan,M
1967,Rian,M
1968,Ryan,F
1968,Ryan,M
1968,Rian,M
1969,Ryan,F
1969,Ryan,M
1969,Rian,M
1970,Ryan,F
1970,Ryan,M
1970,Rian,M
1971,Ryan,F
1971,Ryann,F
1971,Rian,F
1971,Ryan,M
1971,Rian,M
1972,Ryan,F
1972,Ryann,F
1972,Ryanne,F
1972,Rian,F
1972,Ryan,M
1972,Rian,M
1973,Ryan,F
1973,Ryanne,F
1973,Rian,F
1973,Ryan,M
1973,Rian,M
1974,Ryan,F
1974,Ryann,F
1974,Ryanne,F
1974,Rian,F
1974,Ryane,F
1974,Ryan,M
1974,Rian,M
1974,Ryann,M
1975,Ryan,F
1975,Ryann,F
1975,Rian,F
1975,Ryane,F
1975,Ryanne,F
1975,Ryan,M
1975,Rian,M
1975,Ryann,M
1976,Ryan,F
1976,Ryann,F
1976,Rian,F
1976,Ryanne,F
1976,Ryan,M
1976,Rian,M
1976,Ryann,M
1977,Ryan,F
1977,Ryann,F
1977,Riann,F
1977,Ryanne,F
1977,Rian,F
1977,Rianne,F
1977,Ryane,F
1977,Ryan,M
1977,Rian,M
1977,Ryann,M
1978,Ryan,F
1978,Ryann,F
1978,Rian,F
1978,Ryanne,F
1978,Riann,F
1978,Ryane,F
1978,Rianne,F
1978,Ryan,M
1978,Rian,M
1978,Ryann,M
1979,Ryan,F
1979,Ryann,F
1979,Rian,F
1979,Ryanne,F
1979,Riann,F
1979,Rianne,F
1979,Ryane,F
1979,Ryan,M
1979,Rian,M
1979,Ryann,M
1980,Ryan,F
1980,Ryann,F
1980,Ryanne,F
1980,Rian,F
1980,Ryane,F
1980,Rianne,F
1980,Riane,F
1980,Riann,F
1980,Ryan,M
1980,Rian,M
1980,Ryann,M
1981,Ryan,F
1981,Ryann,F
1981,Ryanne,F
1981,Rian,F
1981,Ryane,F
1981,Riann,F
1981,Rianne,F
1981,Riane,F
1981,Ryan,M
1981,Rian,M
1981,Ryann,M
1982,Ryan,F
1982,Ryann,F
1982,Ryanne,F
1982,Rian,F
1982,Ryane,F
1982,Rianne,F
1982,Riann,F
1982,Riane,F
1982,Ryan,M
1982,Rian,M
1982,Ryann,M
1983,Ryan,F
1983,Ryann,F
1983,Ryanne,F
1983,Rian,F
1983,Ryane,F
1983,Rianne,F
1983,Riann,F
1983,Ryan,M
1983,Rian,M
1983,Ryann,M
1984,Ryan,F
1984,Ryann,F
1984,Rian,F
1984,Ryanne,F
1984,Rianne,F
1984,Ryane,F
1984,Riann,F
1984,Ryan,M
1984,Rian,M
1984,Ryann,M
1985,Ryan,F
1985,Ryann,F
1985,Ryanne,F
1985,Rian,F
1985,Ryane,F
1985,Riane,F
1985,Riann,F
1985,Rianne,F
1985,Ryan,M
1985,Rian,M
1985,Ryann,M
1985,Ryane,M
1986,Ryan,F
1986,Ryann,F
1986,Ryanne,F
1986,Rian,F
1986,Riane,F
1986,Rianne,F
1986,Ryane,F
1986,Ryan,M
1986,Rian,M
1986,Ryann,M
1986,Ryane,M
1987,Ryan,F
1987,Ryann,F
1987,Ryanne,F
1987,Rian,F
1987,Ryane,F
1987,Riane,F
1987,Rianne,F
1987,Ryan,M
1987,Rian,M
1987,Ryann,M
1987,Ryane,M
1988,Ryan,F
1988,Ryann,F
1988,Ryanne,F
1988,Rian,F
1988,Riane,F
1988,Rianne,F
1988,Ryane,F
1988,Riann,F
1988,Ryan,M
1988,Rian,M
1988,Ryann,M
1989,Ryan,F
1989,Ryann,F
1989,Ryanne,F
1989,Rian,F
1989,Riane,F
1989,Rianne,F
1989,Ryane,F
1989,Riann,F
1989,Ryan,M
1989,Rian,M
1989,Ryann,M
1989,Ryane,M
1990,Ryan,F
1990,Ryann,F
1990,Ryanne,F
1990,Rian,F
1990,Rianne,F
1990,Riane,F
1990,Ryane,F
1990,Riann,F
1990,Ryan,M
1990,Rian,M
1990,Ryann,M
1990,Ryane,M
1991,Ryan,F
1991,Ryann,F
1991,Ryanne,F
1991,Rian,F
1991,Rianne,F
1991,Riane,F
1991,Ryane,F
1991,Riann,F
1991,Ryan,M
1991,Rian,M
1991,Ryann,M
1991,Ryane,M
1992,Ryan,F
1992,Ryann,F
1992,Ryanne,F
1992,Rian,F
1992,Rianne,F
1992,Riane,F
1992,Ryane,F
1992,Riann,F
1992,Ryan,M
1992,Rian,M
1992,Ryann,M
1993,Ryan,F
1993,Ryann,F
1993,Ryanne,F
1993,Rian,F
1993,Rianne,F
1993,Riane,F
1993,Ryane,F
1993,Riann,F
1993,Ryan,M
1993,Rian,M
1993,Ryann,M
1994,Ryan,F
1994,Ryann,F
1994,Rian,F
1994,Ryanne,F
1994,Riane,F
1994,Rianne,F
1994,Ryane,F
1994,Riann,F
1994,Ryan,M
1994,Rian,M
1994,Ryann,M
1995,Ryan,F
1995,Ryann,F
1995,Ryanne,F
1995,Rian,F
1995,Riann,F
1995,Rianne,F
1995,Riane,F
1995,Ryane,F
1995,Ryan,M
1995,Rian,M
1995,Ryann,M
1995,Ryane,M
1996,Ryan,F
1996,Ryann,F
1996,Ryanne,F
1996,Rian,F
1996,Ryane,F
1996,Rianne,F
1996,Riane,F
1996,Riann,F
1996,Ryan,M
1996,Rian,M
1996,Ryann,M
1997,Ryan,F
1997,Ryann,F
1997,Ryanne,F
1997,Rian,F
1997,Ryane,F
1997,Rianne,F
1997,Riann,F
1997,Riane,F
1997,Ryan,M
1997,Rian,M
1997,Ryann,M
1998,Ryan,F
1998,Ryann,F
1998,Ryanne,F
1998,Rian,F
1998,Rianne,F
1998,Riane,F
1998,Ryane,F
1998,Riann,F
1998,Ryan,M
1998,Rian,M
1998,Ryann,M
