Year,Name,Gender
1881,Johnathan,M
1886,Johnathan,M
1914,Johnathan,M
1915,Johnathan,M
1916,Johnathan,M
1917,Johnathan,M
1918,Johnathan,M
1919,Johnathan,M
1920,Johnathan,M
1921,Johnathan,M
1922,Johnathan,M
1923,Johnathan,M
1924,Johnathan,M
1925,Johnathan,M
1926,Johnathan,M
1927,Johnathan,M
1928,Johnathan,M
1929,Johnathan,M
1930,Johnathan,M
1931,Johnathan,M
1932,Johnathan,M
1933,Johnathan,M
1934,Johnathan,M
1935,Johnathan,M
1936,Johnathan,M
1937,Johnathan,M
1938,Johnathan,M
1939,Johnathan,M
1940,Johnathan,M
1941,Johnathan,M
1942,Johnathan,M
1943,Johnathan,M
1944,Johnathan,M
1945,Johnathan,M
1946,Johnathan,M
1947,Johnathan,M
1948,Johnathan,M
1949,Johnathan,M
1950,Johnathan,M
1951,Johnathan,M
1952,Johnathan,M
1953,Johnathan,M
1954,Johnathan,M
1955,Johnathan,M
1956,Johnathan,M
1957,Johnathan,M
1958,Johnathan,M
1959,Johnathan,M
1960,Johnathan,M
1961,Johnathan,M
1962,Johnathan,M
1963,Johnathan,M
1964,Johnathan,M
1965,Johnathan,M
1966,Johnathan,M
1967,Johnathan,M
1968,Johnathan,M
1969,Johnathan,F
1969,Johnathan,M
1970,Johnathan,M
1971,Johnathan,F
1971,Johnathan,M
1972,Johnathan,M
1973,Johnathan,F
1973,Johnathan,M
1974,Johnathan,F
1974,Johnathan,M
1975,Johnathan,F
1975,Johnathan,M
1976,Johnathan,F
1976,Johnathan,M
1977,Johnathan,F
1977,Johnathan,M
1978,Johnathan,F
1978,Johnathan,M
1979,Johnathan,F
1979,Johnathan,M
1980,Johnathan,F
1980,Johnathan,M
1981,Johnathan,F
1981,Johnathan,M
1982,Johnathan,F
1982,Johnathan,M
1983,Johnathan,F
1983,Johnathan,M
1984,Johnathan,F
1984,Johnathan,M
1985,Johnathan,F
1985,Johnathan,M
1986,Johnathan,F
1986,Johnathan,M
1987,Johnathan,F
1987,Johnathan,M
1988,Johnathan,F
1988,Johnathan,M
1989,Johnathan,F
1989,Johnathan,M
1990,Johnathan,F
1990,Johnathan,M
1991,Johnathan,F
1991,Johnathan,M
1992,Johnathan,M
1993,Johnathan,F
1993,Johnathan,M
1994,Johnathan,F
1994,Johnathan,M
1995,Johnathan,F
1995,Johnathan,M
1996,Johnathan,F
1996,Johnathan,M
1997,Johnathan,F
1997,Johnathan,M
1998,Johnathan,M
1999,Johnathan,F
1999,Johnathan,M
2000,Johnathan,M
2001,Johnathan,F
2001,Johnathan,M
2002,Johnathan,F
2002,Johnathan,M
2003,Johnathan,M
2004,Johnathan,F
2004,Johnathan,M
2005,Johnathan,F
2005,Johnathan,M
2006,Johnathan,M
2007,Johnathan,F
2007,Johnathan,M
2008,Johnathan,F
2008,Johnathan,M
2009,Johnathan,M
2010,Johnathan,M
2011,Johnathan,M
2012,Johnathan,M
2013,Johnathan,M
2014,Johnathan,M
2015,Johnathan,M
2016,Johnathan,M
2017,Johnathan,M
2018,Johnathan,M
2019,Johnathan,M
2020,Johnathan,M
2021,Johnathan,M
2022,Johnathan,M
2023,Johnathan,M
