Year,Name,Gender
1880,Katherine,F
1880,Katheryn,F
1880,Kathryne,F
1880,Katherine,M
1881,Katherine,F
1881,Katheryn,F
1881,Kathryne,F
1882,Katherine,F
1882,Katheryn,F
1882,Kathryne,F
1883,Katherine,F
1883,Katheryn,F
1883,Kathryne,F
1884,Katherine,F
1884,Katheryn,F
1884,Kathryne,F
1884,Kathern,F
1885,Katherine,F
1885,Kathryne,F
1885,Katheryn,F
1885,Kathern,F
1886,Katherine,F
1886,Kathryne,F
1886,Katheryn,F
1886,Kathern,F
1887,Katherine,F
1887,Kathryne,F
1887,Katheryn,F
1888,Katherine,F
1888,Kathryne,F
1888,Katheryn,F
1889,Katherine,F
1889,Kathryne,F
1889,Katheryn,F
1889,Katherina,F
1890,Katherine,F
1890,Katheryn,F
1890,Kathryne,F
1890,Katherina,F
1890,Kathern,F
1891,Katherine,F
1891,Katheryn,F
1891,Kathryne,F
1891,Katheryne,F
1891,Katherina,F
1891,Katherine,M
1892,Katherine,F
1892,Katheryn,F
1892,Kathryne,F
1892,Katherina,F
1892,Katherin,F
1893,Katherine,F
1893,Katheryn,F
1893,Kathryne,F
1893,Kathern,F
1893,Katherina,F
1894,Katherine,F
1894,Katheryn,F
1894,Kathryne,F
1894,Kathern,F
1895,Katherine,F
1895,Kathryne,F
1895,Katheryn,F
1895,Katherin,F
1895,Katherina,F
1896,Katherine,F
1896,Kathryne,F
1896,Katheryn,F
1896,Katherina,F
1897,Katherine,F
1897,Katheryn,F
1897,Kathryne,F
1897,Katherina,F
1898,Katherine,F
1898,Katheryn,F
1898,Kathryne,F
1899,Katherine,F
1899,Katheryn,F
1899,Kathryne,F
1899,Kathern,F
1899,Katherina,F
1900,Katherine,F
1900,Katheryn,F
1900,Kathryne,F
1900,Kathern,F
1900,Katheryne,F
1901,Katherine,F
1901,Katheryn,F
1901,Kathryne,F
1901,Katherene,F
1901,Katherina,F
1901,Kathern,F
1902,Katherine,F
1902,Katheryn,F
1902,Kathryne,F
1902,Kathern,F
1902,Katheryne,F
1902,Katherine,M
1903,Katherine,F
1903,Katheryn,F
1903,Kathryne,F
1903,Katheryne,F
1903,Kathern,F
1903,Katherine,M
1904,Katherine,F
1904,Katheryn,F
1904,Kathryne,F
1904,Kathern,F
1904,Katherine,M
1905,Katherine,F
1905,Katheryn,F
1905,Kathryne,F
1905,Kathern,F
1906,Katherine,F
1906,Katheryn,F
1906,Kathryne,F
1906,Katheryne,F
1907,Katherine,F
1907,Katheryn,F
1907,Kathryne,F
1907,Kathern,F
1907,Katherine,M
1908,Katherine,F
1908,Katheryn,F
1908,Kathryne,F
1908,Kathern,F
1908,Katheryne,F
1909,Katherine,F
1909,Katheryn,F
1909,Kathryne,F
1909,Kathern,F
1909,Katheryne,F
1909,Katherin,F
1909,Katherine,M
1910,Katherine,F
1910,Katheryn,F
1910,Kathryne,F
1910,Kathern,F
1910,Katheryne,F
1911,Katherine,F
1911,Katheryn,F
1911,Kathryne,F
1911,Kathern,F
1911,Katheryne,F
1911,Katherina,F
1911,Katherine,M
1912,Katherine,F
1912,Katheryn,F
1912,Kathryne,F
1912,Kathern,F
1912,Katheryne,F
1912,Catheryne,F
1913,Katherine,F
1913,Katheryn,F
1913,Kathryne,F
1913,Kathern,F
1913,Katheryne,F
1913,Catheryne,F
1913,Katherine,M
1914,Katherine,F
1914,Katheryn,F
1914,Kathryne,F
1914,Kathern,F
1914,Katheryne,F
1914,Katherin,F
1914,Katherene,F
1914,Katherina,F
1914,Kathelene,F
1914,Kathlyne,F
1914,Katherine,M
1915,Katherine,F
1915,Katheryn,F
1915,Kathryne,F
1915,Kathern,F
1915,Katheryne,F
1915,Katherin,F
1915,Katharyne,F
1915,Katherene,F
1915,Katherina,F
1915,Kathlyne,F
1915,Katherine,M
1916,Katherine,F
1916,Katheryn,F
1916,Kathryne,F
1916,Kathern,F
1916,Katheryne,F
1916,Katherene,F
1916,Katherin,F
1916,Catheryne,F
1916,Katherne,F
1916,Katherine,M
1917,Katherine,F
1917,Katheryn,F
1917,Kathryne,F
1917,Kathern,F
1917,Katheryne,F
1917,Katherin,F
1917,Katherene,F
1917,Katherina,F
1917,Catheryne,F
1917,Katheren,F
1917,Katherlene,F
1917,Katherine,M
1918,Katherine,F
1918,Katheryn,F
1918,Kathryne,F
1918,Kathern,F
1918,Katheryne,F
1918,Katherene,F
1918,Katherina,F
1918,Catheryne,F
1918,Katherin,F
1918,Katherine,M
1919,Katherine,F
1919,Katheryn,F
1919,Kathryne,F
1919,Kathern,F
1919,Katheryne,F
1919,Katherin,F
1919,Katherene,F
1919,Katherina,F
1919,Katharyne,F
1919,Katheren,F
1919,Katheriene,F
1919,Katherine,M
1920,Katherine,F
1920,Katheryn,F
1920,Kathryne,F
1920,Kathern,F
1920,Katheryne,F
1920,Katherene,F
1920,Katherin,F
1920,Katherina,F
1920,Catheryne,F
1920,Kathlyne,F
1920,Katherine,M
1921,Katherine,F
1921,Katheryn,F
1921,Kathryne,F
1921,Kathern,F
1921,Katheryne,F
1921,Katherene,F
1921,Katherin,F
1921,Kathelene,F
1921,Catheryne,F
1921,Katherine,M
1922,Katherine,F
1922,Katheryn,F
1922,Kathryne,F
1922,Kathern,F
1922,Katheryne,F
1922,Katherene,F
1922,Katherin,F
1922,Katherina,F
1922,Katherine,M
1923,Katherine,F
1923,Katheryn,F
1923,Kathryne,F
1923,Kathern,F
1923,Katheryne,F
1923,Katherin,F
1923,Katherene,F
1923,Kathelene,F
1923,Catheryne,F
1923,Katherina,F
1923,Katherlene,F
1923,Katherine,M
1924,Katherine,F
1924,Katheryn,F
1924,Kathryne,F
1924,Kathern,F
1924,Katheryne,F
1924,Catheryne,F
1924,Katherene,F
1924,Kathelene,F
1924,Katherin,F
1924,Katherina,F
1924,Katharyne,F
1924,Katheline,F
1924,Katherine,M
1925,Katherine,F
1925,Katheryn,F
1925,Kathryne,F
1925,Kathern,F
1925,Katheryne,F
1925,Katherin,F
1925,Katherene,F
1925,Catheryne,F
1925,Katherina,F
1925,Katherline,F
1925,Katherine,M
1926,Katherine,F
1926,Katheryn,F
1926,Kathryne,F
1926,Kathern,F
1926,Katheryne,F
1926,Katherin,F
1926,Katherene,F
1926,Katheren,F
1926,Katherina,F
1926,Katherine,M
1927,Katherine,F
1927,Katheryn,F
1927,Kathryne,F
1927,Kathern,F
1927,Katheryne,F
1927,Katherin,F
1927,Katherene,F
1927,Kathelene,F
1927,Kather,F
1927,Katherline,F
1927,Katherine,M
1928,Katherine,F
1928,Katheryn,F
1928,Kathryne,F
1928,Kathern,F
1928,Katheryne,F
1928,Katherene,F
1928,Katherin,F
1928,Katherina,F
1928,Katharyne,F
1928,Kathelene,F
1928,Katherine,M
1929,Katherine,F
1929,Katheryn,F
1929,Kathryne,F
1929,Kathern,F
1929,Katherene,F
1929,Katherin,F
1929,Katheryne,F
1929,Kathelene,F
1929,Catheryne,F
1929,Kather,F
1929,Katherine,M
1930,Katherine,F
1930,Katheryn,F
1930,Kathern,F
1930,Kathryne,F
1930,Katheryne,F
1930,Katherin,F
1930,Catheryne,F
1930,Katherene,F
1930,Katherina,F
1930,Katherine,M
1931,Katherine,F
1931,Katheryn,F
1931,Kathern,F
1931,Kathryne,F
1931,Katheryne,F
1931,Katherin,F
1931,Katherene,F
1931,Katherine,M
1932,Katherine,F
1932,Katheryn,F
1932,Kathern,F
1932,Kathryne,F
1932,Katheryne,F
1932,Katherin,F
1932,Katherene,F
1932,Katherina,F
1932,Katherine,M
1933,Katherine,F
1933,Katheryn,F
1933,Kathern,F
1933,Kathryne,F
1933,Katherin,F
1933,Katherene,F
1933,Kathelene,F
1933,Katheryne,F
1933,Katheren,F
1933,Katherine,M
1934,Katherine,F
