Year,Name,Gender
1880,Catherine,F
1880,Katherine,F
1880,Kathryn,F
1880,Katharine,F
1880,Catharine,F
1880,Kathrine,F
1880,Cathrine,F
1880,Katheryn,F
1880,Kathryne,F
1880,Katherine,M
1881,Catherine,F
1881,Katherine,F
1881,Kathryn,F
1881,Katharine,F
1881,Catharine,F
1881,Kathrine,F
1881,Cathrine,F
1881,Katheryn,F
1881,Kathryne,F
1881,Katharyn,F
1882,Catherine,F
1882,Katherine,F
1882,Kathryn,F
1882,Katharine,F
1882,Catharine,F
1882,Kathrine,F
1882,Cathrine,F
1882,Katheryn,F
1882,Kathryne,F
1882,Cathryn,F
1883,Catherine,F
1883,Katherine,F
1883,Kathryn,F
1883,Katharine,F
1883,Catharine,F
1883,Kathrine,F
1883,Cathrine,F
1883,Cathryn,F
1883,Katheryn,F
1883,Kathryne,F
1884,Catherine,F
1884,Katherine,F
1884,Kathryn,F
1884,Katharine,F
1884,Catharine,F
1884,Kathrine,F
1884,Cathrine,F
1884,Katheryn,F
1884,Cathryn,F
1884,Kathryne,F
1884,Catherine,M
1885,Catherine,F
1885,Katherine,F
1885,Kathryn,F
1885,Katharine,F
1885,Catharine,F
1885,Kathrine,F
1885,Cathrine,F
1885,Kathryne,F
1885,Katheryn,F
1885,Cathryn,F
1885,Katharyn,F
1886,Catherine,F
1886,Katherine,F
1886,Kathryn,F
1886,Katharine,F
1886,Catharine,F
1886,Kathrine,F
1886,Cathrine,F
1886,Kathryne,F
1886,Katheryn,F
1887,Catherine,F
1887,Katherine,F
1887,Kathryn,F
1887,Katharine,F
1887,Catharine,F
1887,Kathrine,F
1887,Kathryne,F
1887,Cathrine,F
1887,Katheryn,F
1887,Cathryn,F
1887,Katharyn,F
1887,Catherine,M
1888,Catherine,F
1888,Katherine,F
1888,Kathryn,F
1888,Katharine,F
1888,Catharine,F
1888,Kathrine,F
1888,Cathrine,F
1888,Kathryne,F
1888,Katheryn,F
1888,Cathryn,F
1888,Katharyn,F
1888,Catherine,M
1889,Catherine,F
1889,Katherine,F
1889,Kathryn,F
1889,Katharine,F
1889,Catharine,F
1889,Kathrine,F
1889,Cathryn,F
1889,Kathryne,F
1889,Cathrine,F
1889,Katheryn,F
1889,Katharyn,F
1890,Catherine,F
1890,Katherine,F
1890,Kathryn,F
1890,Katharine,F
1890,Catharine,F
1890,Kathrine,F
1890,Katheryn,F
1890,Cathrine,F
1890,Cathryn,F
1890,Kathryne,F
1890,Katharyn,F
1891,Catherine,F
1891,Katherine,F
1891,Kathryn,F
1891,Katharine,F
1891,Catharine,F
1891,Cathrine,F
1891,Kathrine,F
1891,Katheryn,F
1891,Cathryn,F
1891,Katharyn,F
1891,Kathryne,F
1891,Katheryne,F
1891,Catherine,M
1891,Katherine,M
1892,Catherine,F
1892,Katherine,F
1892,Kathryn,F
1892,Katharine,F
1892,Catharine,F
1892,Kathrine,F
1892,Cathryn,F
